country,year,co2_per_dollar,co2_total,co2_per_capita,nuclear_usage,gdp,life_exp,nox_total,population,primary_completion,renewable_usage,income,region
Afghanistan,1971,NA,1895.839,0.165208248913986,NA,NA,37.93,146.206970621,11475450,NA,NA,Low income,South Asia
Afghanistan,1972,NA,1532.806,0.12999551700409,NA,NA,38.461,143.01033615,11791222,NA,NA,Low income,South Asia
Afghanistan,1973,NA,1639.149,0.135366587543459,NA,NA,39.003,140.54141834,12108963,NA,NA,Low income,South Asia
Afghanistan,1974,NA,1917.841,0.154503116098014,NA,NA,39.558,147.69764093,12412960,16.6569995880127,NA,Low income,South Asia
Afghanistan,1975,NA,2126.86,0.167612302906638,NA,NA,40.128,152.49043251,12689164,NA,NA,Low income,South Asia
Afghanistan,1976,NA,1987.514,0.153557886047794,NA,NA,40.715,155.14143843,12943093,NA,NA,Low income,South Asia
Afghanistan,1977,NA,2390.884,0.181522331822523,NA,NA,41.32,151.99863828,13171294,17.8807601928711,NA,Low income,South Asia
Afghanistan,1978,NA,2159.863,0.16189421955253,NA,NA,41.944,157.99521442,13341199,19.6528396606445,NA,Low income,South Asia
Afghanistan,1979,NA,2240.537,0.167066361644792,NA,NA,42.585,158.13705027,13411060,NA,NA,Low income,South Asia
Afghanistan,1980,NA,1760.16,0.131783026990604,NA,NA,43.244,161.34332695,13356500,26.3732395172119,NA,Low income,South Asia
Afghanistan,1981,NA,1983.847,0.150614587555618,NA,NA,43.923,164.0108258,13171679,32.7061195373535,NA,Low income,South Asia
Afghanistan,1982,NA,2101.191,0.163104060867604,NA,NA,44.617,162.24958436,12882518,NA,NA,Low income,South Asia
Afghanistan,1983,NA,2522.896,0.201224272460123,NA,NA,45.324,160.71062005,12537732,NA,NA,Low income,South Asia
Afghanistan,1984,NA,2830.924,0.231961079966366,NA,NA,46.04,141.75275357,12204306,17.8910293579102,NA,Low income,South Asia
